_word,sense
А,"<p><b>А</b>. Первая буква древнерусского алфавита. Числовое значение ã = 1. Название: <i>аз</i>, старославянск. <b>азъ</b> «я». Русские слова с начальным а представляют собой главным образом заимствования (кроме с. <i>а</i>) или звукоподражательные образования: <i>а́хать, ау́кать</i>.</p>"
АБАЖУР,"<p><b>Абажу́р</b>. Это обрусевшее слово пришло к нам из французского языка, где оно буквально означает «отражатель света»: abat-jour. Французский язык, который на протяжении XVIII—XIX вв. был вторым, если не первым языком русской аристократии, дал русскому много слов, к которым мы настолько привыкли, что даже не замечаем их иностранности.</p>"
АББАТ,"<p><b>Абба́т</b>. Так называют настоятеля католического монастыря или католического священника. Это слово появилось в русском языке, вероятно, еще в XVII в. как заимствование из итальянского. Существительное аббат, имеющееся и в других европейских языках, восходит к древнегреческому abba (avva), где оно обозначало «отец». В русском языке можно обнаружить несколько родственников этого существительного. Среди них и евангельское <i>авва</i> (имеющее значение «отче»; приведем здесь слова Иисуса, томящегося предчувствием крестных мук и обращающегося к своему небесному отцу: «Авва Отче! все возможно Тебе; пронеси чашу сию мимо Меня». Евангелие от Марка, 14:36), и имя Аввакум, которое носил живший в XVII в. глава старообрядчества протопоп Аввакум.</p>"
АБЗАЦ,"<p><b>Абза́ц</b>. Это слово, обозначающее отступ в начале строки или текст между двумя такими отступами, заимствовано в 60-е годы XIX в. из немецкого языка, где слово Absatz имеет такое же значение.</p>"
АБИТУРИЕНТ,"<p><b>Абитурие́нт</b>. Заимствовано в XIX в. из немецкого языка, где Abiturient означает «сдающий выпускные экзамены», немецкое слово в свою очередь восходит к латинскому.</p>"
АБРАКАДАБРА,"<p><b>Абракада́бра</b>. Это слово, означающее «бессмыслица, вздор», было придумано еще в Древнем Риме, именно придумано, составлено из набора звуков, не имеющих в отдельности какого-либо смысла. Это слово использовалось жрецами как магическая формула, писали его и на амулетах, потому что считалось, что оно обладает таинственной силой.</p>"
АБРИКОС,"<p><b>Абрико́с</b>. Заимств. в начале XVIII в. из голландского языка, в котором появилось из романских языков (например, французское abricot). Любопытно проследить это слово еще дальше: оказывается, во французский оно попало из арабского, а в арабский из латыни. Латинское praecox означало «скороспелый». В русском языке наряду с существительным <i>абрикос</i> употреблялось и <i>априкос</i>, заимствованное из немецкого языка. К XIX в. немецкое заимствование было вытеснено современной формой, голландской по происхождению. Такой вот долгий путь.</p>"
АВАНГАРД,"<p><b>Аванга́рд</b>. Это слово связано прежде всего с армией: французское avant (передний) и garde (охрана) объясняют значение этого слова: «выставленное вперед охранение». Авангардистами называют и некоторых художников, а также всех, кто порывает с традициями, как бы уходит от остальных вперед. Хотя нередко оказывается, что авангардисты идут не вперед, а в сторону или вообще назад.</p>"
АВАНС,"<p><b>Ава́нс</b>. Нам сегодня это слово известно в значении «денежная сумма, выплачиваемая вперед». А вот в XVIII в. заимствованный из немецкого глагол <i>авансировать</i> означал «продвигаться вперед» (как, например, в предложении «неприятель авансировал на правом фланге»; сегодня мы бы сказали «неприятель наступал на правом фланге») — именно такой смысл этот глагол имеет, например, во французском (avance) или английском (advance) языках. Смысловая связь между значениями «продвигаться вперед» и «денежная сумма, выплачиваемая вперед», хотя и не очевидна, но все же существует, и мы можем себе представить, как происходил этот смысловой сдвиг.</p>"
АВАНТЮРА,"<p><b>Авантю́ра</b>. Это существительное, восходящее к латинскому adventura, существует, наверное, во всех европейских языках. Но вот что любопытно: если в русском языке существительное <i>авантюра</i> (как и образованное от него другое существительное — <i>авантюризм</i>) носит в первую очередь негативный оттенок (<i>авантюра</i> — рискованное, сомнительное предприятие, а <i>авантюризм</i> — поведение, для которого характерны беспринципные поступки), то, например, в английском (adventure) и французском (aventure) это слово в первую очередь означает всего лишь «приключение».</p>"
