_word,sense
А,"<p><b>А</b> [<i>санскр.</i>] — анти, наоборот, интерес; короткое перед последующим словом придаёт ему значение противоположности, отрицания; отрицательный префикс не.</p>"
ААЙЯС,"<p><b>Аайяс</b> [<i>санскр.</i>] — железный, медный, бронзовый.</p>"
ААМРА,<p><b>Аамра</b> [<i>санскр.</i>] — манго.</p>
ААНААНА,<p><b>Аанаана</b> [<i>санскр.</i>] — лицо.</p>
ААПАД,"<p><b>Аапад</b> [<i>санскр.</i>] — беда, несчастье; лететь</p>"
ААПРАЩ,<p><b>Аапращ</b> [<i>санскр.</i>] — прощаться.</p>
ААРТИ,"<p><b>Аарти</b> [<i>санскр.</i>] (аррр, арьянти – восхвалять) ритуал поклонения Божественному.</p>"
ААРУП,<p><b>Ааруп</b> [<i>санскр.</i>] — натягивание(тетивы лука).</p>
ААСАННА,<p><b>Аасанна</b> [<i>санскр.</i>] — близкий.</p>
ААШАС,"<p><b>Аашас</b> [<i>санскр.</i>] — надежда, желание.</p>"
АБА,<p><b>Аба</b> [<i>санскр.</i>] — невежда.</p>
АБАНДА,"<p><b>Абанда</b> [<i>санскр.</i>] — узел, завязка ленты, связывать.</p>"
АБКМ,<p><b>АБКМ</b> — см. Азиатская буддийская конференция за мир. [Источник: словарь буддийских терминов (1).]</p>
АБРАВИТ,<p><b>Абравит</b> [<i>санскр.</i>] — сказал.</p>
АБСОЛЮТ,"<p><b>АБСОЛЮТ</b> (<i>англ.</i> Absolute) — То, что нельзя описать ни в терминах материи, ни в понятиях разума, но что тем не менее является источником и первоосновой обоих. Он не является пустотой, ибо пустота есть нечто присущее материальному миру. Его можно рассматривать как чистое сознание, так как сознание осознает и материю, и разум; однако наше обычное сознание, различающее их как два явления, а не как единое целое, не понимает своей подлинной природы, зная только свое отражение в этой двойственности материи и разума. Сознание способно прийти к истинному знанию, в чем и заключается цель йоги. Абсолют можно также назвать жизнью, ибо именно жизнь есть то, что возникает в сознании, когда встречаются материя и разум; таким образом, Абсолют может быть испытан в совершенном слиянии этих двух явлений, то есть в совершенной, утонченной и полной, неограниченной жизни, которая также является целью йоги.<br/>Абсолют является целью практической йоги, так как йог учится не ставить перед собой некие конкретные цели, но наоборот, ожидать чего-то, о чем он прежде не имел представления. Он обращает свой взор к этой Сущности (пуруша), которая существовала, по словам «Риг-Веды», когда не было ни существующего, ни несуществующего, но которая тем не менее включает в себя всю Вселенную и, пожертвовав собой, сотворила «Веды» и все сущее. Йог, следующий этой цели на своем пути, получает награду более насыщенной и полной жизни, но не обязательно в виде материального богатства или высокого умственного развития, ибо они представляют собой лишь относительную свободу; он обретает также радость, более утонченную, чем несовершенные удовольствия тела и несовершенное счастье ума; эта наполненная жизнь есть обещание и преддверие света самой цели. Cм. также Брахман; Сат-Чит-Ананда; Саччидананда. [Источник: словарь йоги.]</p>"
АБУДДХА,"<p><b>АБУДДХА</b> — сс. Непробужденный. Простой человек (притхаджана, притхакджана, притхагджана, бала), ведущий обычный образ жизни (самвьявахара). Обыватель. Тот, кто, в отличие от пробужденного (буддха), еще не встал на путь, ведущий к просветлению (бодхи), к освобождению от страданий и новых рождений. [Источник: словарь буддийских терминов (2).]</p>"
АБУДДХИПУРВА,<p><b>Абуддхипурва</b> [<i>санскр.</i>] — несмышлёность; бесчувствие.</p>
